Sales ID,Customer ID,Product ID,Supplier ID,Time ID,Location ID,Sales,Quantity,Discount,Profit
CA-2017-152156,CG-12520,FUR-BO-10001798,58398,0,0,261.96,2,0,41.9136
CA-2017-152156,CG-12520,FUR-CH-10000454,23259,0,0,731.94,3,0,219.582
CA-2017-138688,DV-13045,OFF-LA-10000240,57587,1,2,14.62,2,0,6.8714
CA-2017-138688,DV-13045,OFF-LA-10000240,57587,1,5,14.62,2,0,6.8714
CA-2017-138688,DV-13045,OFF-LA-10000240,57587,1,25,14.62,2,0,6.8714
CA-2017-138688,DV-13045,OFF-LA-10000240,57587,1,61,14.62,2,0,6.8714
CA-2017-138688,DV-13045,OFF-LA-10000240,57587,1,153,14.62,2,0,6.8714
CA-2017-138688,DV-13045,OFF-LA-10000240,57587,1,453,14.62,2,0,6.8714
US-2016-108966,SO-20335,FUR-TA-10000577,46774,2,3,957.5775,5,0.45,-383.031
US-2016-108966,SO-20335,OFF-ST-10000760,74776,2,3,22.368,2,0.2,2.5164
CA-2015-115812,BH-11710,FUR-FU-10001487,23465,3,2,48.86,7,0,14.1694
CA-2015-115812,BH-11710,FUR-FU-10001487,23465,3,5,48.86,7,0,14.1694
CA-2015-115812,BH-11710,FUR-FU-10001487,23465,3,25,48.86,7,0,14.1694
CA-2015-115812,BH-11710,FUR-FU-10001487,23465,3,61,48.86,7,0,14.1694
CA-2015-115812,BH-11710,FUR-FU-10001487,23465,3,153,48.86,7,0,14.1694
CA-2015-115812,BH-11710,FUR-FU-10001487,23465,3,453,48.86,7,0,14.1694
CA-2015-115812,BH-11710,OFF-AR-10002833,22452,3,2,7.28,4,0,1.9656
CA-2015-115812,BH-11710,OFF-AR-10002833,22452,3,5,7.28,4,0,1.9656
CA-2015-115812,BH-11710,OFF-AR-10002833,22452,3,25,7.28,4,0,1.9656
CA-2015-115812,BH-11710,OFF-AR-10002833,22452,3,61,7.28,4,0,1.9656
CA-2015-115812,BH-11710,OFF-AR-10002833,22452,3,153,7.28,4,0,1.9656
CA-2015-115812,BH-11710,OFF-AR-10002833,22452,3,453,7.28,4,0,1.9656
CA-2015-115812,BH-11710,TEC-PH-10002275,69036,3,2,907.152,6,0.2,90.7152
CA-2015-115812,BH-11710,TEC-PH-10002275,69036,3,5,907.152,6,0.2,90.7152
CA-2015-115812,BH-11710,TEC-PH-10002275,69036,3,25,907.152,6,0.2,90.7152
CA-2015-115812,BH-11710,TEC-PH-10002275,69036,3,61,907.152,6,0.2,90.7152
CA-2015-115812,BH-11710,TEC-PH-10002275,69036,3,153,907.152,6,0.2,90.7152
CA-2015-115812,BH-11710,TEC-PH-10002275,69036,3,453,907.152,6,0.2,90.7152
CA-2015-115812,BH-11710,OFF-BI-10003910,74968,3,2,18.504,3,0.2,5.7825
CA-2015-115812,BH-11710,OFF-BI-10003910,74968,3,5,18.504,3,0.2,5.7825
CA-2015-115812,BH-11710,OFF-BI-10003910,74968,3,25,18.504,3,0.2,5.7825
CA-2015-115812,BH-11710,OFF-BI-10003910,74968,3,61,18.504,3,0.2,5.7825
CA-2015-115812,BH-11710,OFF-BI-10003910,74968,3,153,18.504,3,0.2,5.7825
CA-2015-115812,BH-11710,OFF-BI-10003910,74968,3,453,18.504,3,0.2,5.7825
CA-2015-115812,BH-11710,OFF-AP-10002892,37215,3,2,114.9,5,0,34.47
CA-2015-115812,BH-11710,OFF-AP-10002892,37215,3,5,114.9,5,0,34.47
CA-2015-115812,BH-11710,OFF-AP-10002892,37215,3,25,114.9,5,0,34.47
CA-2015-115812,BH-11710,OFF-AP-10002892,37215,3,61,114.9,5,0,34.47
CA-2015-115812,BH-11710,OFF-AP-10002892,37215,3,153,114.9,5,0,34.47
CA-2015-115812,BH-11710,OFF-AP-10002892,37215,3,453,114.9,5,0,34.47
CA-2015-115812,BH-11710,FUR-TA-10001539,99724,3,2,1706.184,9,0.2,85.3092
CA-2015-115812,BH-11710,FUR-TA-10001539,99724,3,5,1706.184,9,0.2,85.3092
CA-2015-115812,BH-11710,FUR-TA-10001539,99724,3,25,1706.184,9,0.2,85.3092
CA-2015-115812,BH-11710,FUR-TA-10001539,99724,3,61,1706.184,9,0.2,85.3092
CA-2015-115812,BH-11710,FUR-TA-10001539,99724,3,153,1706.184,9,0.2,85.3092
CA-2015-115812,BH-11710,FUR-TA-10001539,99724,3,453,1706.184,9,0.2,85.3092
CA-2015-115812,BH-11710,TEC-PH-10002033,96047,3,2,911.424,4,0.2,68.3568
CA-2015-115812,BH-11710,TEC-PH-10002033,96047,3,5,911.424,4,0.2,68.3568
CA-2015-115812,BH-11710,TEC-PH-10002033,96047,3,25,911.424,4,0.2,68.3568
CA-2015-115812,BH-11710,TEC-PH-10002033,96047,3,61,911.424,4,0.2,68.3568
CA-2015-115812,BH-11710,TEC-PH-10002033,96047,3,153,911.424,4,0.2,68.3568
CA-2015-115812,BH-11710,TEC-PH-10002033,96047,3,453,911.424,4,0.2,68.3568
CA-2018-114412,AA-10480,OFF-PA-10002365,69087,4,12,15.552,3,0.2,5.4432
CA-2017-161389,IM-15070,OFF-BI-10003656,21246,5,13,407.976,3,0.2,132.5922
CA-2017-161389,IM-15070,OFF-BI-10003656,21246,5,149,407.976,3,0.2,132.5922
CA-2017-161389,IM-15070,OFF-BI-10003656,21246,5,150,407.976,3,0.2,132.5922
US-2016-118983,HP-14815,OFF-AP-10002311,96236,6,14,68.81,5,0.8,-123.858
US-2016-118983,HP-14815,OFF-BI-10000756,21217,6,14,2.544,3,0.8,-3.816
CA-2015-105893,PK-19075,OFF-ST-10004186,29205,7,16,665.88,6,0,13.3176
CA-2015-167164,AG-10270,OFF-ST-10000107,78551,8,17,55.5,2,0,9.99
CA-2015-143336,ZD-21925,OFF-AR-10003056,40222,9,18,8.56,2,0,2.4824
CA-2015-143336,ZD-21925,OFF-AR-10003056,40222,9,78,8.56,2,0,2.4824
CA-2015-143336,ZD-21925,OFF-AR-10003056,40222,9,256,8.56,2,0,2.4824
CA-2015-143336,ZD-21925,TEC-PH-10001949,82382,9,18,213.48,3,0.2,16.011
CA-2015-143336,ZD-21925,TEC-PH-10001949,82382,9,78,213.48,3,0.2,16.011
CA-2015-143336,ZD-21925,TEC-PH-10001949,82382,9,256,213.48,3,0.2,16.011
CA-2015-143336,ZD-21925,OFF-BI-10002215,44236,9,18,22.72,4,0.2,7.384
CA-2015-143336,ZD-21925,OFF-BI-10002215,44236,9,78,22.72,4,0.2,7.384
CA-2015-143336,ZD-21925,OFF-BI-10002215,44236,9,256,22.72,4,0.2,7.384
CA-2017-137330,KB-16585,OFF-AR-10000246,45044,10,21,19.46,7,0,5.0596
CA-2017-137330,KB-16585,OFF-AP-10001492,48526,10,21,60.34,7,0,15.6884
US-2018-156909,SF-20065,FUR-CH-10002774,87824,11,23,71.372,2,0.3,-1.0196
US-2018-156909,SF-20065,FUR-CH-10002774,87824,11,154,71.372,2,0.3,-1.0196
US-2018-156909,SF-20065,FUR-CH-10002774,87824,11,189,71.372,2,0.3,-1.0196
US-2018-156909,SF-20065,FUR-CH-10002774,87824,11,301,71.372,2,0.3,-1.0196
CA-2016-106320,EB-13870,FUR-TA-10000577,43462,12,24,1044.63,3,0,240.2649
CA-2017-121755,EH-13945,OFF-BI-10001634,46333,13,2,11.648,2,0.2,4.2224
CA-2017-121755,EH-13945,OFF-BI-10001634,46333,13,5,11.648,2,0.2,4.2224
CA-2017-121755,EH-13945,OFF-BI-10001634,46333,13,25,11.648,2,0.2,4.2224
CA-2017-121755,EH-13945,OFF-BI-10001634,46333,13,61,11.648,2,0.2,4.2224
CA-2017-121755,EH-13945,OFF-BI-10001634,46333,13,153,11.648,2,0.2,4.2224
CA-2017-121755,EH-13945,OFF-BI-10001634,46333,13,453,11.648,2,0.2,4.2224
CA-2017-121755,EH-13945,TEC-AC-10003027,84543,13,2,90.57,3,0,11.7741
CA-2017-121755,EH-13945,TEC-AC-10003027,84543,13,5,90.57,3,0,11.7741
CA-2017-121755,EH-13945,TEC-AC-10003027,84543,13,25,90.57,3,0,11.7741
CA-2017-121755,EH-13945,TEC-AC-10003027,84543,13,61,90.57,3,0,11.7741
CA-2017-121755,EH-13945,TEC-AC-10003027,84543,13,153,90.57,3,0,11.7741
CA-2017-121755,EH-13945,TEC-AC-10003027,84543,13,453,90.57,3,0,11.7741
US-2016-150630,TB-21520,FUR-BO-10004834,52286,14,23,3083.43,7,0.5,-1665.0522
US-2016-150630,TB-21520,FUR-BO-10004834,52286,14,154,3083.43,7,0.5,-1665.0522
US-2016-150630,TB-21520,FUR-BO-10004834,52286,14,189,3083.43,7,0.5,-1665.0522
US-2016-150630,TB-21520,FUR-BO-10004834,52286,14,301,3083.43,7,0.5,-1665.0522
US-2016-150630,TB-21520,OFF-BI-10000474,95441,14,23,9.618,2,0.7,-7.0532
US-2016-150630,TB-21520,OFF-BI-10000474,95441,14,154,9.618,2,0.7,-7.0532
US-2016-150630,TB-21520,OFF-BI-10000474,95441,14,189,9.618,2,0.7,-7.0532
US-2016-150630,TB-21520,OFF-BI-10000474,95441,14,301,9.618,2,0.7,-7.0532
US-2016-150630,TB-21520,FUR-FU-10004848,19342,14,23,124.2,3,0.2,15.525
US-2016-150630,TB-21520,FUR-FU-10004848,19342,14,154,124.2,3,0.2,15.525
US-2016-150630,TB-21520,FUR-FU-10004848,19342,14,189,124.2,3,0.2,15.525
US-2016-150630,TB-21520,FUR-FU-10004848,19342,14,301,124.2,3,0.2,15.525
